FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
17,2015-12-22,Falcon 9,2034.0,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571
18,2016-01-17,Falcon 9,553.0,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093
19,2016-03-04,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571
20,2016-04-08,Falcon 9,3136.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571
21,2016-05-06,Falcon 9,4696.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571
22,2016-05-27,Falcon 9,3100.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571
23,2016-07-18,Falcon 9,2257.0,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571
24,2016-08-14,Falcon 9,4600.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571
25,2016-09-01,Falcon 9,5500.0,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
26,2017-01-14,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
27,2017-02-19,Falcon 9,2490.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
28,2017-03-16,Falcon 9,5600.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1030,-80.6039558,28.6080585
29,2017-03-30,Falcon 9,5300.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
30,2017-05-01,Falcon 9,5919.16534090909,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
31,2017-05-15,Falcon 9,6070.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1034,-80.6039558,28.6080585
32,2017-06-03,Falcon 9,2708.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
33,2017-06-23,Falcon 9,3669.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
34,2017-06-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
35,2017-07-05,Falcon 9,6761.0,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1037,-80.6039558,28.6080585
36,2017-08-14,Falcon 9,2910.0,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
37,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
38,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
39,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
40,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
41,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
42,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
43,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,True Ocean,2,True,True,False,,3,1,B1036,-120.610829,34.632093
44,2018-01-08,Falcon 9,5919.16534090909,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
45,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,True Ocean,2,True,True,True,,3,1,B1032,-80.577366,28.5618571
46,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,None None,1,True,False,True,,4,0,B1044,-80.577366,28.5618571
47,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,None None,2,True,True,True,,4,1,B1041,-120.610829,34.632093
48,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2,True,True,True,,4,1,B1039,-80.577366,28.5618571
49,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
50,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
51,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2,False,True,False,,4,1,B1040,-80.577366,28.5618571
52,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,None None,2,False,True,False,,4,1,B1045,-80.577366,28.5618571
53,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
54,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093
55,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
56,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
57,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
58,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585
59,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093
60,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571
61,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,None None,1,False,False,False,,5,0,B1054,-80.577366,28.5618571
62,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-120.610829,34.632093
63,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
64,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
65,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
66,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,12,B1051,-120.610829,34.632093
67,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571
68,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,None None,3,False,True,False,,5,2,B1047,-80.577366,28.5618571
69,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
70,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
71,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
72,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
73,2020-01-19,Falcon 9,5919.16534090909,SO,KSC LC 39A,None None,4,False,True,False,,5,3,B1046,-80.6039558,28.6080585
74,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
75,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
76,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
77,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
78,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
79,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
80,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
81,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
82,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
83,2020-07-20,Falcon 9,5919.16534090909,GEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
84,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
85,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
86,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
87,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
88,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
89,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
90,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.577366,28.5618571
91,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
92,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
93,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
94,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
95,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
96,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
97,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
98,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
99,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
100,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
101,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
102,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
103,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
104,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
105,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
106,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
107,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
108,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
109,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
110,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
111,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
112,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
113,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
114,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
115,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
116,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
117,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
118,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
119,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
120,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
121,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
122,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
123,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
124,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
125,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
126,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
127,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
128,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
129,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
130,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
131,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
132,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
133,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
134,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
135,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
136,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
137,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
138,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
139,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
140,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
141,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
142,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
143,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
144,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
145,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
146,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
147,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
148,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
149,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
150,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
151,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
152,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
153,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
154,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
155,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
156,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
157,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
158,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
159,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
160,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
161,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
162,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
163,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
164,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
165,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
166,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
167,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
168,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
169,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
170,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
171,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
172,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
173,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
174,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
175,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
176,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
177,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
178,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
179,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
180,,Falcon 9,5919.16534090909,,,,,,,,,,,,,
